Town,YearMonth,Rainfall_mm
Garissa,2023-01,4.7
Garissa,2023-02,0.5
Garissa,2023-03,47.9
Garissa,2023-04,179.9
Garissa,2023-05,11.4
Garissa,2023-06,5.8
Garissa,2023-07,20.6
Garissa,2023-08,10.1
Garissa,2023-09,6.8
Garissa,2023-10,17.5
Garissa,2023-11,286.7
Garissa,2023-12,20.0
Garissa,2024-01,10.7
Garissa,2024-02,2.2
Garissa,2024-03,27.3
Garissa,2024-04,132.8
Garissa,2024-05,12.9
Garissa,2024-06,6.7
Garissa,2024-07,5.5
Garissa,2024-08,13.4
Garissa,2024-09,5.8
Garissa,2024-10,6.3
Garissa,2024-11,160.79999999999998
Garissa,2024-12,4.3999999999999995
Habaswein,2022-01,5.8
Habaswein,2022-02,0.1
Habaswein,2022-03,6.7
Habaswein,2022-04,60.0
Habaswein,2022-05,3.1
Habaswein,2022-06,2.1
Habaswein,2022-07,2.9000000000000004
Habaswein,2022-08,0.30000000000000004
Habaswein,2022-09,2.3
Habaswein,2022-10,4.0
Habaswein,2022-11,19.7
Habaswein,2022-12,6.2
Habaswein,2023-01,2.3000000000000003
Habaswein,2023-02,0.0
Habaswein,2023-03,78.3
Habaswein,2023-04,128.9
Habaswein,2023-05,12.2
Habaswein,2023-06,1.3
Habaswein,2023-07,5.4
Habaswein,2023-08,2.5
Habaswein,2023-09,2.3
Habaswein,2023-10,71.7
Habaswein,2023-11,312.3
Habaswein,2023-12,10.8
Habaswein,2024-01,21.900000000000002
Habaswein,2024-02,1.4000000000000001
Habaswein,2024-03,23.0
Habaswein,2024-04,102.3
Habaswein,2024-05,32.4
Habaswein,2024-06,2.3
Habaswein,2024-07,2.8
Habaswein,2024-08,5.8
Habaswein,2024-09,2.9
Habaswein,2024-10,1.0
Habaswein,2024-11,142.3
Habaswein,2024-12,0.6000000000000001
Hola,2022-01,2.4000000000000004
Hola,2022-02,0.8
Hola,2022-03,9.9
Hola,2022-04,50.6
Hola,2022-05,25.2
Hola,2022-06,24.1
Hola,2022-07,22.9
Hola,2022-08,12.7
Hola,2022-09,14.8
Hola,2022-10,30.4
Hola,2022-11,89.0
Hola,2022-12,18.1
Hola,2023-01,5.9
Hola,2023-02,0.5
Hola,2023-03,54.3
Hola,2023-04,153.3
Hola,2023-05,53.3
Hola,2023-06,19.0
Hola,2023-07,35.6
Hola,2023-08,37.3
Hola,2023-09,17.1
Hola,2023-10,70.3
Hola,2023-11,371.5
Hola,2023-12,65.3
Hola,2024-01,13.600000000000001
Hola,2024-02,5.3999999999999995
Hola,2024-03,23.2
Hola,2024-04,115.7
Hola,2024-05,21.0
Hola,2024-06,17.8
Hola,2024-07,22.2
Hola,2024-08,24.6
Hola,2024-09,12.1
Hola,2024-10,12.8
Hola,2024-11,123.2
Hola,2024-12,38.5
Homa Bay,2022-01,89.6
Homa Bay,2022-02,48.7
Homa Bay,2022-03,73.5
Homa Bay,2022-04,196.7
Homa Bay,2022-05,143.9
Homa Bay,2022-06,46.0
Homa Bay,2022-07,41.099999999999994
Homa Bay,2022-08,95.5
Homa Bay,2022-09,54.2
Homa Bay,2022-10,65.8
Homa Bay,2022-11,151.8
Homa Bay,2022-12,109.2
Homa Bay,2023-01,14.2
Homa Bay,2023-02,29.5
Homa Bay,2023-03,188.9
Homa Bay,2023-04,242.8
Homa Bay,2023-05,61.3
Homa Bay,2023-06,41.3
Homa Bay,2023-07,16.0
Homa Bay,2023-08,37.2
Homa Bay,2023-09,84.1
Homa Bay,2023-10,127.1
Homa Bay,2023-11,195.8
Homa Bay,2023-12,96.3
Homa Bay,2024-01,60.800000000000004
Homa Bay,2024-02,43.8
Homa Bay,2024-03,51.3
Homa Bay,2024-04,178.4
Homa Bay,2024-05,88.8
Homa Bay,2024-06,55.1
Homa Bay,2024-07,49.1
Homa Bay,2024-08,57.8
Homa Bay,2024-09,69.5
Homa Bay,2024-10,78.0
Homa Bay,2024-11,246.0
Homa Bay,2024-12,48.1
Isiolo,2022-01,30.1
Isiolo,2022-02,13.1
Isiolo,2022-03,15.899999999999999
Isiolo,2022-04,43.5
Isiolo,2022-05,3.3000000000000003
Isiolo,2022-06,0.5
Isiolo,2022-07,0.1
Isiolo,2022-08,3.8
Isiolo,2022-09,7.7
Isiolo,2022-10,15.1
Isiolo,2022-11,93.1
Isiolo,2022-12,35.800000000000004
Isiolo,2023-01,15.899999999999999
Isiolo,2023-02,0.1
Isiolo,2023-03,89.0
Isiolo,2023-04,107.1
Isiolo,2023-05,9.6
Isiolo,2023-06,0.4
Isiolo,2023-07,1.0
Isiolo,2023-08,0.30000000000000004
Isiolo,2023-09,5.3
Isiolo,2023-10,39.2
Isiolo,2023-11,158.3
Isiolo,2023-12,23.900000000000002
Isiolo,2024-01,35.0
Isiolo,2024-02,21.9
Isiolo,2024-03,13.399999999999999
Isiolo,2024-04,173.5
Isiolo,2024-05,58.6
Isiolo,2024-06,0.5
Isiolo,2024-07,30.9
Isiolo,2024-08,11.8
Isiolo,2024-09,10.1
Isiolo,2024-10,22.3
Isiolo,2024-11,96.8
Isiolo,2024-12,17.5
Iten,2022-01,33.9
Iten,2022-02,24.099999999999998
Iten,2022-03,13.8
Iten,2022-04,84.8
Iten,2022-05,38.4
Iten,2022-06,103.0
Iten,2022-07,139.4
Iten,2022-08,238.9
Iten,2022-09,94.0
Iten,2022-10,32.5
Iten,2022-11,30.0
Iten,2022-12,26.1
Iten,2023-01,15.5
Iten,2023-02,1.0
Iten,2023-03,67.0
Iten,2023-04,150.9
Iten,2023-05,70.2
Iten,2023-06,52.8
Iten,2023-07,58.3
Iten,2023-08,61.0
Iten,2023-09,109.0
Iten,2023-10,48.9
Iten,2023-11,89.6
Iten,2023-12,23.3
Iten,2024-01,85.4
Iten,2024-02,42.7
Iten,2024-03,34.2
Iten,2024-04,145.3
Iten,2024-05,126.8
Iten,2024-06,48.0
Iten,2024-07,183.3
Iten,2024-08,154.4
Iten,2024-09,74.1
Iten,2024-10,69.9
Iten,2024-11,89.39999999999999
Iten,2024-12,21.0
Kabarnet,2022-01,50.4
Kabarnet,2022-02,13.5
