time,precipitation_sum (mm),,,,,town
07/06/2022,3.2,,,,,Nairobi
08/06/2022,0.2,,,,,Nairobi
09/06/2022,0.1,,,,,Nairobi
10/06/2022,0.3,,,,,Nairobi
11/06/2022,0,,,,,Nairobi
12/06/2022,0.2,,,,,Nairobi
13/06/2022,0,,,,,Nairobi
14/06/2022,0.1,,,,,Nairobi
15/06/2022,0,,,,,Nairobi
16/06/2022,0.2,,,,,Nairobi
17/06/2022,0.8,,,,,Nairobi
18/06/2022,0,,,,,Nairobi
19/06/2022,0.3,,,,,Nairobi
20/06/2022,0.1,,,,,Nairobi
21/06/2022,0,,,,,Nairobi
22/06/2022,0,,,,,Nairobi
23/06/2022,1.6,,,,,Nairobi
24/06/2022,2.1,,,,,Nairobi
25/06/2022,0,,,,,Nairobi
26/06/2022,0.5,,,,,Nairobi
27/06/2022,0.3,,,,,Nairobi
28/06/2022,0,,,,,Nairobi
29/06/2022,0,,,,,Nairobi
30/06/2022,0.8,,,,,Nairobi
01/07/2022,0.1,,,,,Nairobi
02/07/2022,0,,,,,Nairobi
03/07/2022,0,,,,,Nairobi
04/07/2022,0,,,,,Nairobi
05/07/2022,0,,,,,Nairobi
06/07/2022,0,,,,,Nairobi
07/07/2022,0,,,,,Nairobi
08/07/2022,1.8,,,,,Nairobi
09/07/2022,0.8,,,,,Nairobi
10/07/2022,0,,,,,Nairobi
11/07/2022,1.6,,,,,Nairobi
12/07/2022,1.7,,,,,Nairobi
13/07/2022,0.5,,,,,Nairobi
14/07/2022,0.3,,,,,Nairobi
15/07/2022,0,,,,,Nairobi
16/07/2022,0.2,,,,,Nairobi
17/07/2022,0.1,,,,,Nairobi
18/07/2022,0.8,,,,,Nairobi
19/07/2022,0.3,,,,,Nairobi
20/07/2022,0.4,,,,,Nairobi
21/07/2022,0.7,,,,,Nairobi
22/07/2022,0.5,,,,,Nairobi
23/07/2022,0,,,,,Nairobi
24/07/2022,0,,,,,Nairobi
25/07/2022,0,,,,,Nairobi
26/07/2022,0.3,,,,,Nairobi
27/07/2022,0,,,,,Nairobi
28/07/2022,0.2,,,,,Nairobi
29/07/2022,0.8,,,,,Nairobi
30/07/2022,2.4,,,,,Nairobi
31/07/2022,0.4,,,,,Nairobi
01/08/2022,1.3,,,,,Nairobi
02/08/2022,5.1,,,,,Nairobi
03/08/2022,0,,,,,Nairobi
04/08/2022,2.7,,,,,Nairobi
05/08/2022,0.7,,,,,Nairobi
06/08/2022,0,,,,,Nairobi
07/08/2022,0,,,,,Nairobi
08/08/2022,0.1,,,,,Nairobi
09/08/2022,0,,,,,Nairobi
10/08/2022,0,,,,,Nairobi
11/08/2022,2,,,,,Nairobi
12/08/2022,1.2,,,,,Nairobi
13/08/2022,2.5,,,,,Nairobi
14/08/2022,0.3,,,,,Nairobi
15/08/2022,1.8,,,,,Nairobi
16/08/2022,1.7,,,,,Nairobi
17/08/2022,2,,,,,Nairobi
18/08/2022,0,,,,,Nairobi
19/08/2022,0,,,,,Nairobi
20/08/2022,0,,,,,Nairobi
21/08/2022,0,,,,,Nairobi
22/08/2022,0,,,,,Nairobi
23/08/2022,0,,,,,Nairobi
24/08/2022,0.2,,,,,Nairobi
25/08/2022,0.5,,,,,Nairobi
26/08/2022,1,,,,,Nairobi
27/08/2022,2.3,,,,,Nairobi
28/08/2022,0,,,,,Nairobi
29/08/2022,0,,,,,Nairobi
30/08/2022,0.4,,,,,Nairobi
31/08/2022,0.7,,,,,Nairobi
01/09/2022,0,,,,,Nairobi
02/09/2022,0.2,,,,,Nairobi
